Date,Close
2024-01-01,100
2024-01-02,101
2024-01-03,102
2024-01-04,103
2024-01-05,102
2024-01-06,104
2024-01-07,105
2024-01-08,106
2024-01-09,107
2024-01-10,108
2024-01-11,109
2024-01-12,108
2024-01-13,110
2024-01-14,111
2024-01-15,112
2024-01-16,113
2024-01-17,114
2024-01-18,115
2024-01-19,116
2024-01-20,117
2024-01-21,118
2024-01-22,119
2024-01-23,120
2024-01-24,121
2024-01-25,122
2024-01-26,123
2024-01-27,124
2024-01-28,125
2024-01-29,126
2024-01-30,127
2024-01-31,128
2024-02-01,129
2024-02-02,130
2024-02-03,131
2024-02-04,132
2024-02-05,133
2024-02-06,134
2024-02-07,135
2024-02-08,136
2024-02-09,137
2024-02-10,138
2024-02-11,139
2024-02-12,140
2024-02-13,141
2024-02-14,142
2024-02-15,143
2024-02-16,144
2024-02-17,145
2024-02-18,146
2024-02-19,147
2024-02-20,148
2024-02-21,149
2024-02-22,150
2024-02-23,151
2024-02-24,152
2024-02-25,153
2024-02-26,154
2024-02-27,155
2024-02-28,156
2024-02-29,157
2024-03-01,158
2024-03-02,159
2024-03-03,160
2024-03-04,161
2024-03-05,162
2024-03-06,163
2024-03-07,164
2024-03-08,165
2024-03-09,166
2024-03-10,167
2024-03-11,168
2024-03-12,169
2024-03-13,170
2024-03-14,171
2024-03-15,172
2024-03-16,173
2024-03-17,174
2024-03-18,175
2024-03-19,176
2024-03-20,177
2024-03-21,178
2024-03-22,179
2024-03-23,180
2024-03-24,181
2024-03-25,182
2024-03-26,183
2024-03-27,184
2024-03-28,185
2024-03-29,186
2024-03-30,187
2024-03-31,188
2024-04-01,189
2024-04-02,190
2024-04-03,191
2024-04-04,192
2024-04-05,193
2024-04-06,194
2024-04-07,195
2024-04-08,196
2024-04-09,197
2024-04-10,198
2024-04-11,199
2024-04-12,200
